Designator,Mid X,Mid Y,Rotation,Layer
BLM18AG102S1ND1,150.522,-79.404,90.0,top
C1,146.165,-79.655,90.0,top
C10,134.432,-79.672,90.0,top
C2,140.239,-79.664,90.0,top
C3,132.881,-98.256,90.0,top
C4,142.881,-98.117,90.0,top
C5,148.675,-98.208,90.0,top
C6,127.823,-84.4,0.0,top
C7,133.614,-85.569,270.0,top
C8,114.076,-92.509,90.0,top
C9,114.098,-86.664,0.0,top
D2,132.806,-73.737,180.0,top
D3,160.167,-90.215,0.0,top
D4,104.049,-74.645,90.0,top
J1,159.0,-101.473,90.0,bottom
J2,160.517,-84.143,90.0,top
J3,104.0,-101.5,90.0,bottom
J4,156.6635,-72.605,270.0,top
L1,122.346,-82.518,270.0,top
R1,153.596,-93.644,0.0,top
R2,104.093,-84.825,90.0,top
R3,142.762,-73.855,180.0,top
R4,129.39,-89.882,0.0,top
R5,129.37,-93.1,180.0,top
SW1,153.952,-85.117,90.0,top
U1,126.426,-80.139,0.0,top
U2,137.876,-97.6775,180.0,top
